Date,Station_Name,Dataset_Type,Passenger_Departure_Scaled,day_sin,Passenger_Arrival_Lag7_scaled,Passenger_Departure_Lag7_scaled,Passenger_Arrival_Roll_Mean_7_scaled,Passenger_Departure_Roll_Mean_7_scaled,Passenger_Departure_Roll_Std_7_scaled,holiday_category_Weekday
2023-03-12,Suvarnabhumi,Train,0.23907037067749154,-0.7818314824680299,-0.1290600257319839,-0.011173803469214654,0.4554965013816387,0.2882788653620957,0.37700523882383785,0.0
2023-03-13,Suvarnabhumi,Train,0.6769518410492729,0.0,0.16655311669839987,0.0983374234141197,0.482340448414135,0.3281914847673432,0.01640474348949462,1.0
2023-03-14,Suvarnabhumi,Train,0.5531230345441366,0.7818314824680298,0.6513863948462392,0.5748917733679704,0.5217287783868172,0.41580890411746135,0.13109538419731723,1.0
2023-03-15,Suvarnabhumi,Train,0.42725757003727105,0.9749279121818236,0.6631693337004396,0.4982740285521577,0.4675762775462625,0.4146787405277447,0.12191326642776869,1.0
2023-03-16,Suvarnabhumi,Train,0.4769520252794639,0.43388373911755823,0.5983631700023367,0.49105350809831144,0.42359350279301816,0.406529666222948,0.09490753568742709,1.0
2023-03-17,Suvarnabhumi,Train,0.8252205435751597,-0.433883739117558,0.8939763124327206,0.455352045854294,0.40371865739395835,0.4067081131055345,0.09572611460561126,1.0
2023-03-18,Suvarnabhumi,Train,0.06432511412912485,-0.9749279121818236,0.2771048077128107,-0.09340750863801885,0.40728064267327047,0.463037845708768,0.6622313082238565,0.0
2023-03-19,Suvarnabhumi,Train,0.2814328571134592,-0.7818314824680299,0.05114962733225943,0.25799115344916396,0.40511247772064574,0.48962643121420046,0.0767106470656542,0.0
2023-03-20,Suvarnabhumi,Train,0.7531228503139455,0.0,0.4309761268676646,0.6892166805538689,0.422406174366581,0.49581258981054294,0.010703135028093523,1.0
2023-03-21,Suvarnabhumi,Train,0.5115752113088605,0.7818314824680298,0.2878480754916406,0.5672701128889105,0.4286009313740801,0.5069357788251203,0.14403321634066624,1.0
2023-03-22,Suvarnabhumi,Train,0.4769520252794639,0.9749279121818236,0.36790274829517944,0.44331784509788363,0.42096073106483123,0.5008685848171688,0.12834276888066487,1.0
2023-03-23,Suvarnabhumi,Train,0.27287889350619654,0.43388373911755823,0.464938715329772,0.4922569281739525,0.4177601066109565,0.5081254247090324,0.11803651786293275,1.0
2023-03-24,Suvarnabhumi,Train,0.5237951593192358,-0.433883739117558,0.9178887471662451,0.835231649731648,0.42622627452120515,0.4783247953170366,0.25542143899253894,1.0
2023-03-25,Suvarnabhumi,Train,-0.05868902917531976,-0.9749279121818236,0.26254941265762183,0.08590208263249566,0.40351216549370805,0.4343078976122933,-0.2989126513288017,0.0
2023-03-26,Suvarnabhumi,Train,-0.09534887320644564,-0.7818314824680299,0.16724623074864697,0.2997097160713866,0.39411678403233436,0.4163442447652215,0.08847706097934369,0.0
2023-03-27,Suvarnabhumi,Train,0.5592330085493242,0.0,0.47256296988248997,0.7642298652688269,0.3606650961918392,0.3613231226342919,0.7690153093571024,1.0
2023-03-28,Suvarnabhumi,Train,0.7054650530734818,0.7818314824680298,0.23655763577335595,0.5263538303171152,0.33727988848852963,0.3330095505971864,0.36583157117142034,1.0
2023-03-29,Suvarnabhumi,Train,0.6512899502274847,0.9749279121818236,0.34641621273751966,0.4922569281739525,0.38053994159089904,0.3613231226342919,0.7135161241535164,1.0
2023-03-30,Suvarnabhumi,Train,0.5038359109022895,0.43388373911755823,0.5217740674500334,0.2912857755418993,0.3756357589599619,0.38678154455000846,0.9296661006739787,1.0
